category,rank,team,country,points,era_points,matches,ppg,record,gf,ga,gd,competitions
"Copa",14,"Lleida Esportiu","🇪🇸",12,7.38,7,1.714,"4-0-3",34,21,13,4
"Copa",15,"Saber FC","🇳🇱",9,9.00,5,1.800,"3-0-2",39,20,19,1
"Copa",16,"Knattspyrnufélag Garðabæjar","🇪🇺",9,8.37,5,1.800,"3-0-2",30,33,-3,1
"Copa",17,"Black Dragons","🇪🇸",9,7.11,9,1.000,"3-0-6",23,40,-17,6
"Copa",18,"Raimon Junior High","🇳🇱",9,5.85,3,3.000,"3-0-0",21,5,16,1
"Copa",19,"Brazil","🇮🇹",6,6.00,3,2.000,"2-0-1",20,17,3,1
"Copa",20,"Juventudes Alienígenas","🇪🇺",6,6.00,3,2.000,"2-0-1",8,9,-1,1
"Copa",21,"Bimbo FC","🇪🇸",6,5.79,4,1.500,"2-0-2",11,16,-5,2
"Copa",22,"Immortals","🇪🇺",6,5.58,3,2.000,"2-0-1",21,10,11,1
"Copa",23,"Salford","🇹🇷",6,5.58,4,1.500,"2-0-2",20,24,-4,2
"Copa",24,"Mattilans HT","🇮🇹",6,5.37,4,1.500,"2-0-2",17,20,-3,2
"Copa",25,"Boquita Juniors","🇪🇸",6,3.90,4,1.500,"2-0-2",14,7,7,3
"Copa",26,"V Destroyers","🇪🇺",6,3.48,2,3.000,"2-0-0",5,0,5,1
"Copa",27,"Haxeritos","🇪🇸",6,3.06,2,3.000,"2-0-0",6,2,4,1
"Copa",28,"Málaga CF","🇪🇺",6,2.64,2,3.000,"2-0-0",22,4,18,2
"Copa",29,"Vornix City","🇪🇸",3,3.00,1,3.000,"1-0-0",3,2,1,1
"Copa",30,"Monos negros","🇪🇸",3,3.00,2,1.500,"1-0-1",7,5,2,1
"Copa",31,"Snake Island","🇮🇹",3,3.00,2,1.500,"1-0-1",11,11,0,1
"Copa",32,"Málaga HT","🇪🇸",3,3.00,2,1.500,"1-0-1",3,8,-5,2
"Copa",33,"Vornix United","🇪🇸",3,3.00,3,1.000,"1-0-2",11,12,-1,2
"Copa",34,"Galácticos Blaugranas","🇪🇸",3,3.00,4,0.750,"1-0-3",12,21,-9,3
"Copa",35,"Dinamo Timanfaya","🇪🇸",3,3.00,5,0.600,"1-0-4",8,28,-20,4
"Copa",36,"Bastard Munchen","🇪🇸",3,2.79,2,1.500,"1-0-1",8,11,-3,2
"Copa",37,"GS Warriors","🇪🇸",3,2.79,2,1.500,"1-0-1",2,8,-6,1
"Copa",38,"Malaquito de Menfis","🇪🇸",3,2.79,3,1.000,"1-0-2",13,20,-7,2
"Copa",39,"Real Sociedad","🇪🇸",3,2.79,3,1.000,"1-0-2",8,20,-12,2
"Copa",40,"Inter Futsal","🇵🇹",3,2.58,2,1.500,"1-0-1",14,10,4,1
